home,away,seed
release-switch-shield-g5,release-deep-denial-g4,3201
release-deep-denial-g4,release-switch-shield-g5,3201
release-switch-shield-g5,release-and-run,3202
release-and-run,release-switch-shield-g5,3202
release-switch-shield-g5,nova-vertical,3203
nova-vertical,release-switch-shield-g5,3203
