timestamp_utc,match_id,team_id,opponent_id,score,rating_before,rating_after,k_factor,replay_path
2026-08-29T01:49:13Z,6be5d001d6c5,nova-vertical,release-deep-denial-g4,0.5,1492.501,1493.004,16,var/matches/matches/20260829T014639Z-6be5d001d6c5-release-deep-denial-g4-vs-nova-vertical.ndjson
2026-08-29T01:51:33Z,ce42128303aa,nova-vertical,release-deep-denial-g4,0.5,1493.004,1493.483,16,var/matches/matches/20260829T014913Z-ce42128303aa-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-29T01:51:33Z,ce42128303aa,release-deep-denial-g4,nova-vertical,0.5,1513.853,1513.374,16,var/matches/matches/20260829T014913Z-ce42128303aa-nova-vertical-vs-release-deep-denial-g4.ndjson
2026-08-29T01:54:09Z,fbbfe6fe9055,release-switch-shield-g5,nova-vertical,0.5,1497.259,1497.085,32,var/matches/matches/20260829T015133Z-fbbfe6fe9055-release-switch-shield-g5-vs-nova-vertical.ndjson
2026-08-29T01:54:09Z,fbbfe6fe9055,nova-vertical,release-switch-shield-g5,0.5,1493.483,1493.57,16,var/matches/matches/20260829T015133Z-fbbfe6fe9055-release-switch-shield-g5-vs-nova-vertical.ndjson
2026-08-29T01:56:25Z,af20ad464b62,nova-vertical,release-switch-shield-g5,0.5,1493.57,1493.651,16,var/matches/matches/20260829T015409Z-af20ad464b62-nova-vertical-vs-release-switch-shield-g5.ndjson
2026-08-29T01:56:25Z,af20ad464b62,release-switch-shield-g5,nova-vertical,0.5,1497.085,1496.923,32,var/matches/matches/20260829T015409Z-af20ad464b62-nova-vertical-vs-release-switch-shield-g5.ndjson
2026-08-29T01:58:47Z,358b614413ba,release-deep-denial-g4,strict-switch-counter-g4,1.0,1513.374,1520.794,16,var/matches/matches/20260829T015625Z-358b614413ba-release-deep-denial-g4-vs-strict-switch-counter-g4.ndjson
2026-08-29T01:58:47Z,358b614413ba,strict-switch-counter-g4,release-deep-denial-g4,0.0,1488.122,1473.283,32,var/matches/matches/20260829T015625Z-358b614413ba-release-deep-denial-g4-vs-strict-switch-counter-g4.ndjson
2026-08-29T02:01:09Z,87234b2ae5b9,strict-switch-counter-g4,release-deep-denial-g4,1.0,1473.283,1491.457,32,var/matches/matches/20260829T015847Z-87234b2ae5b9-strict-switch-counter-g4-vs-release-deep-denial-g4.ndjson
2026-08-29T02:01:09Z,87234b2ae5b9,release-deep-denial-g4,strict-switch-counter-g4,0.0,1520.794,1511.707,16,var/matches/matches/20260829T015847Z-87234b2ae5b9-strict-switch-counter-g4-vs-release-deep-denial-g4.ndjson
2026-08-29T02:06:45Z,7ef9e91569c1,release-and-run,simple-four-modes,0.5,1500.63,1501.489,16,var/matches/matches/20260829T020401Z-7ef9e91569c1-release-and-run-vs-simple-four-modes.ndjson
2026-08-29T02:06:45Z,7ef9e91569c1,simple-four-modes,release-and-run,0.5,1538.087,1536.369,32,var/matches/matches/20260829T020401Z-7ef9e91569c1-release-and-run-vs-simple-four-modes.ndjson
